idProduto,Produto,Descrição Completa,Valor Custo,Valor Venda,imagem,Fornecedor,1
3105,3105 - COLCHAO PERFECT NIGHT D20 - 88 X 188 X 12,,,,,,1
3106,3106 - SILMER SUED CHU COR 7 - 138X188X30,,,,,,1
3107,3107 - ALFAZEMA LUXO - 138 X 188 X 22,,,,,,1
,,,,,,,0
3109,3109 - BALCAO VIOLETA FOGAO 05 BOCAS - BRANCO,,,,,,1
3110,3110 - BALCAO VIOLETA FOGAO 05 BOCAS - YPE,,,,,,1
3111,3111 - BALCAO VIOLETA FOGAO 04 BOCAS - BRANCO,,,,,,1
3112,3112 - BALCAO VIOLETA FOGAO 04 BOCAS - YPE,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3117,3117 - COMODA VANE 1004 CACAU,,,,,,1
3118,3118 - COMODA VANE 1006 CORDAO BRANCO,,,,,,1
3119,3119 - FRUTEIRA 062 BRANCO,,,,,,1
,,,,,,,0
,,,,,,,0
3122,3122 - ARMARIO COZINHA JASPE 2020 PLUS - CAR/GRAF,,,,,,1
,,,,,,,0
3124,3124 - ROUPEIRO AREZZO 2 PORTAS C/ ESPELHO - BCO,,,,,,1
3125,3125 - ROUPEIRO AREZZO 2 PORTAS C/ ESPELHO - IPE,,,,,,1
3126,3126 - ROUPEIRO AREZZO 2 PORTAS C/ ESPELHO - CED/OFF,,,,,,1
3127,3127 - COLCHAO ESPUMA 1380X1880X200 mm ULT BLACK BORDADO,,,,,,1
,,,,,,,0
3129,"3129 - MESA KRV 5490 1,80 X 1,00 - CATEDRAL IMBUIA MEL VIDRO OFF WHITE",,,,,,1
3130,3130 - SF 5912/120-RETRATIL - VEL.SAARA PE IMB MEL,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
3134,3134 - KIT 8 PES PLASTICO GOLD FAMILIA 3 - BR,,,,,,1
3135,3135 - KIT 8 PES PLASTICO GOLD FAMILIA 3 - DEM,,,,,,1
3136,3136 - KIT 8 PES PLASTICO GOLD FAMILIA 3 - FRE,,,,,,1
3137,3137 - FRUT TUB BIANCA - BRANCO GRA OCRE,,,,,,1
3138,3138 - ARMARIO COZINHA IMOLA 2019 - CAR/GRAF,,,,,,1
3139,3139 - ROUPEIRO PORTO 6 PORTAS C/ESPELHO - NG/OFF,,,,,,1
3140,3140 - TORRE QUENTE COZINHA PARIS - CAR/OFF,,,,,,1
3141,"3141 - BALCAO COZINHA PARIS 1,20 - CAR/OFF",,,,,,1
3142,"3142 - AEREO BASCULA COZINHA PARIS 1,20 - CAR/GRAF",,,,,,1
3143,3143 - ARMARIO COZINHA SAFIRA 2020 PLUS - BCO,,,,,,1
,,,,,,,0
3145,3145 - CJ 5660 3X2 LG - PU.PRETO PE IMB MEL,,,,,,1
,,,,,,,0
,,,,,,,0
3148,3148 - RACK GERMAI MALBEC WOOD OFF WHITE/NATURE,,,,,,1
3149,3149 - PAINEL GERMAI VIVARE 1.36 NEW OFF WHITE/NATURE,,,,,,1
3150,3150 - KIT 8 PES PLASTICO GOLD FAMILIA 3 - DEM,,,,,,1
3151,3151 - GUARDA ROUPA SANTIAGO CIN OFF,X,"0,01","0,01",,,1
3152,3152 - GUARDA ROUPA CLARA PLUS FAM3 - BR-BR,,,,,,1
3153,3153 - GUARDA ROUPA CLARA PREMIUM FAM3 - BR-BR,,,,,,1
3154,3154 - ROUPEIRO VERONA 6 PORTAS C/ESPELHO - BCO,,,,,,1
3155,3155 - ROUPEIRO PORTO 6 PORTAS C/ESPELHO - BCO,,,,,,1
3156,3156 - HOME GREGO,,,,,,1
3157,3157 - RACK + PAINEL CHARLES,,,,,,1
3158,3158 - RACK + PAINEL CHARLES,,,,,,1
3159,3159 - KIT RACK + PAINEL VICTORIA,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
3163,3163 - PAINEL DELTA,,,,,,1
3164,3164 - PAINEL DELTA,,,,,,1
3165,3165 - SALA LARI N C/4 CAD NAPOLI,,,,,,1
3166,3166 - SALA DUNA N C/4 CAD NAPOLI,,,,,,1
3167,3167 - SALA NANDA R C/4 CAD ROMA,,,,,,1
3168,3168 - SALA NANDA R C/4 CAD ROMA,,,,,,1
3169,3169 - SALA LARI N C/4 CAD NAPOLI,,,,,,1
3170,3170 - ROUPEIRO PARMA 10 PORTAS C/ ESPELHO - IPE,,,,,,1
3171,3171 - COL.OLIMPIA UNI. EUR. PIL. PRETO 2021 188X138X28,,,,,,1
3172,3172 - BOX SOM. CONJUGADO PASQUALE PRETO 2021 188X138X48,,,,,,1
3173,3173 - ARMARIO DE COZINHA TOPAZIO 2019 - BCO,,,,,,1
3174,3174 - ARMARIO DE COZINHA TOPAZIO 2019 - NG/OFF,,,,,,1
3175,3175 - AEREO PORTA CORRER REFLECTA VALENCIA - CARV,,,,,,1
3176,3176 - SILMER CORINO 30 PT - 088X188X30,,,,,,1
3177,"3177 - COLCHAO ORTHOSONO ONE BORD D33 18CMX1,88MX1,38M",,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3187,3187 - UNIDADE DE CESTO - BRANCO,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
3191,3191 - ESCRIVANINHA ATENAS MASTER - IPE a WHITE,,,,,,1
,,,,,,,0
3193,3193 - CX 04 CADEIRAS 596 - PRETO FOSCO TEC 27/ JUNCO 12 MARROM,,,,,,1
,,,,,,,0
3195,"3195 - TAMPO 1,20X0,80 - RIPADO",,,,,,1
3196,"3196 - TAMPO 0,80X0,80 QUAD - RIPADO",,,,,,1
,,,,,,,0
,,,,,,,0
3199,3199 - BALCAO NAPOLI BRANCO / PRETO / MARM.,,,,,,1
3200,3200 - FRUTEIRA NOBRE BRANCO,,,,,,1
3201,3201 - FRUTEIRA NOBRE BRANCO/PRETO/MARM,,,,,,1
3202,3202 - FRUTEIRA ORQUIDEA BCA,,,,,,1
3203,3203 - FRUTEIRA ORQUIDEA BCO / PRETO / MARM.,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3208,3208 - ROUPEIRO PORTO 4 PORTAS C/ESPELHO - BCO,,,,,,1
3209,3209 - BALCAO COZINHA VALENCIA - CIN PRETO,Balcao,,"0,01",Produto_Images/3209.imagem.133723.jpg,,1
3210,3210 - ARMARIO COZINHA SAFIRA 2020 PLUS - CAR/GRAF,,,,,,1
,,,,,,,0
3212,3212 - PAINEL STILO REF 0002 - AVELA IPE,,,,,,1
,,,,,,,0
3214,3214 - ARMARIO COZINHA SIENA 2019 - BCO,,,,,,1
,,,,,,,0
3216,3216 - MULTIUSO TOKIO C/ PES - WENGUE/NAT,,,,,,1
3217,3217 - VL 2 BANQ MILENIUM - PTO FLORAL CACAU,,,,,,1
3218,3218 - MESA TUB 048 VIDRO 75X75CM - MART. PRATA INCOLOR,,,,,,1
,,,,,,,0
,,,,,,,0
3221,3221 - FRUTEIRA NOBRE BRANCO/PRETO/MARM,,,,,,1
3222,3222 - FRUTEIRA ORQUIDEA BCO / PRETO / MARM.,,,,,,1
3223,3223 - IP3-105 LUCE 2018 BRA,,,,,,1
,,,,,,,0
3225,3225 - BELICHE SMART 2018 - BCO,,,,,,1
3226,3226 - BELICHE SMART 2018 - IPE,,,,,,1
3227,3227 - ROUPEIRO PORTO 6 PORTAS C/ESPELHO - IPE,,,,,,1
3228,3228 - ROUPEIRO PORTO 4 PORTAS C/ESPELHO - BCO,,,,,,1
3229,3229 - TORRE QUENTE COZ. PARIS REFLECTA - CAR/GRAF,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
,,,,,,,0
3235,3235 - AEREO PORTA CORRER REFLECTA VALENCIA PLUS - CARV,,,,,,1
3236,3236 - COMODA VENEZA PLUS REF 0079 - BCO B,,,,,,1
3237,3237 - COMODA VENEZA PLUS REF 0079 - AVELA IPE,,,,,,1
3238,3238 - KIT PES,3238 - KIT PES,,"0,01",Produto_Images/3238.imagem.154217.jpg,,1
3239,3239 - KIT PES MULTIUSO 6 UNIDADES - PTO FOSCO,,,,,,1
3240,3240 - KIT PES MULTIUSO 6 UNIDADES - BCO B,,,,,,1
3241,3241 - KIT PES MULTIUSO 6 UNIDADES - PTO FOSCO,,,,,,1
3242,3242 - COL.PASQUALE ANAT. NEW BLACK 2020 188X138X25,,,,,,1
3243,3243 - KIT PES MULTIUSO 4 UNIDADES - BCO B,,,,,,1
3244,3244 - KIT PES MULTIUSO 4 UNIDADES - PTO FOSCO,,,,,,1
3245,3245 - ESCRIVANINHA CONNECT REF 3073 - BCO B,,,,,,1
3246,3246 - ESCRIVANINHA CONNECT REF 3073 - AVELA IPE,,,,,,1
3247,3247 - KIT PES MULTIUSO 6 UNIDADES - BCO B,,,,,,1
3248,3248 - KIT PES MULTIUSO 6 UNIDADES - PTO FOSCO,,,,,,1
3249,3249 - COMODA TRIUNFO REF 0052 - AVELA IPE,,,,,,1
3250,3250 - KIT PES MULTIUSO 4 UNIDADES - BCO B,,,,,,1
3251,3251 - KIT PES MULTIUSO 4 UNIDADES - PTO FOSCO,,,,,,1
3252,3252 - RACK REQUINTE REF 0081 - BCO B,,,,,,1
3253,3253 - RACK REQUINTE REF 0081 - AVELA IPE,,,,,,1
3254,3254 - MULTIUSO ROMA REF 0047 - AVE/ OFF WH,,,,,,1
3255,3255 - ESCRIVANINHA LINK REF 0055 - AVELA IPE,,,,,,1
3256,3256 - ESCRIVANINHA LINK REF 0055 - BCO B,,,,,,1
3257,3257 - APARADOR RAVENA - CHOCOLATE,,,,,,1
3258,3258 - APARADOR RAVENA - YPE,,,,,,1
,,,,,,,0
3260,3260 - ROUPEIRO LISBOA 4PTS - WENGUE/NAT,,,,,,1
3261,3261 - COZINHA AMANDA PLUS - WENGUE/NAT,,,,,,1
,,,,,,,0
3263,3263 - LIGHT NANOLASTIC 17 P5202500X1880X1380,,,,,,1
3264,3264 - LIGHT NANOLASTIC 17 P5202500X1980X1580,,,,,,1
3265,3265 - ELEGANT NANOLASTIC P5202700X1880X1380,,,,,,1
3266,3266 - ISO SUPERPOCKET02500X1980X1580,,,,,,1
3267,3267 - PHYSICAL RESISTENTE LISO01200X1880X1380,,,,,,1
3268,COLCHÃO SOLTEIRO AIRTECH SPRINGPOCKET ORTOBOM,3268 - AIRTECH SPRINGPOCKET SOLTEIRO ORTOBOM,"0,01","0,01",Produto_Images/3268.imagem.183333.jpg,430bb847,1
3269,3269 - ISO SUPERPOCKET02500X1880X1380,,,,,,1
,,,,,,,0
3271,3271 - TORRE QUENTE COZINHA VALENCIA - CAR/GRAF,,,,,,1
3272,3272 - LIGHT D3301700X1880X1380,,,,,,1
,,,,,,,0
3274,3274 - LIGHT D3301400X1880X0880 ORTOBOM,X,"0,01","0,01",,,1
,,,,,,,0
,,,,,,,0
3277,3277 - CJ ANE B 048 4CAD 70X70CM PEDRA - PTO FLORAL MART. PRATA ARD IND PTO,,,,,,1
3278,3278 - BUFFET CLOE - CHUMBO / NATURE,,,,,,1
3279,.,.,,90,,,1
3280,3280 - MOCHILA CAMPING00400X1750X0550,,,,,,1
3281,3281 - COLCH CAMP BLUE MAGAZINE00200X1800X0600,,,,,,1
3282,3282 - LIGHT ORTOPEDICO 1702400X1880X1380,,,,,,1
,,,,,,,0
3284,3284 - ROUPEIRO MASTER TOP 8PTS - BCO-NEVE,"Altura	216 cm
Largura	183 cm
Profundidade	42 cm",,"0,01",Produto_Images/3284.imagem.175152.jpg,,1
3285,3285 - ROUPEIRO PORTO 6PTS - BCO-NEVE,,,,,,1
3286,3286 - MULTIUSO TOKIO C/ PES - WENGUE/NAT,,,,,,1
3287,3287 - AEREO TRIPLO COZINHA VALENCIA - BCO,.,,0,Produto_Images/3287.imagem.231103.jpg,,1
3288,3288 - AEREO TRIPLO COZINHA VALENCIA - CAR/GRAF,,,,,,1
3289,3289 - AEREO GELADEIRA VALENCIA - BCO,,,,,,1
3290,3290 - AEREO GELADEIRA VALENCIA - CAR/GRAF,,,,,,1
3291,3291 - COLCHAO CJG UNION ORTOP04300X1880X1380,,,,,,1
3292,3292 - MULTIUSO TOKIO C/ PES - BCO-NEVE,,,,,,1
3293,3293 - MULTIUSO TOKIO C/ PES - WENGUE/NAT,,,,,,1
3294,3294 - ARMARIO VALDEMOVEIS MARANELLA - IPE/OFF,3294 - ARMARIO VALDEMOVEIS MARANELLA - IPE/OFF,"0,01","0,01",,20adb99d,1
3295,3295 - ARMARIO VALDEMOVEIS MARANELLA - IPE/GRA,3295 - ARMARIO VALDEMOVEIS MARANELLA - IPE/GRA,"0,01","0,01",,20adb99d,1
3296,3296 - PANELEIRO NICHO GAVETA VALDEMOVEIS TARANTELA - CIN/GRA,3296 - PANELEIRO NICHO GAVETA VALDEMOVEIS TARANTELA - CIN/GRA,"0,01","0,01",,20adb99d,1
3297,3297 - ARMARIO PORTA BASCULA VIDRO VALDEMOVEIS TARANTELA - CIN,3297 - ARMARIO PORTA BASCULA VIDRO VALDEMOVEIS TARANTELA - CIN,"0,01","0,01",,20adb99d,1
3298,3298 - BALCAO 4GAV 2PTS 1200 VALDEMOVEIS TARANTELA - CIN/GRA,3298 - BALCAO 4GAV 2PTS 1200 VALDEMOVEIS TARANTELA - CIN/GRA,"0,01","0,01",,20adb99d,1
,,,,,,,0
3300,3300 - ARMARIO 2PTS SEM VIDRO 800 VALDEMOVEIS TARANTELA - CIN/GRA,3300 - ARMARIO 2PTS SEM VIDRO 800 VALDEMOVEIS TARANTELA - CIN/GRA,"0,01","0,01",,20adb99d,1
3301,3301 - ARMARIO VALDEMOVEIS PETRA - BCO,3301 - ARMARIO VALDEMOVEIS PETRA - BCO,"0,01","0,01",,20adb99d,1
,,,,,,,0
3303,3303 - RACK COM PAINEL VALDEMOVEIS FIRENZE - CIN/OFF,3303 - RACK COM PAINEL VALDEMOVEIS FIRENZE - CIN/OFF,"0,01","0,01",,20adb99d,1
,,,,,,,0
3305,3305 - HOME THEATER VALDEMOVEIS PLENUS - CIN/OFF,3305 - HOME THEATER VALDEMOVEIS PLENUS - CIN/OFF,"0,01","0,01",,20adb99d,1
3306,3306 - HOME THEATER VALDEMOVEIS RAVENA - CIN/OFF,3306 - HOME THEATER VALDEMOVEIS RAVENA - CIN/OFF,"0,01","0,01",,20adb99d,1
,,,,,,,0
,,,,,,,0
3309,3309 - PANELEIRO NICHO GAVETA VALDEMOVEIS TARANTELA - CIN/OFF,3309 - PANELEIRO NICHO GAVETA VALDEMOVEIS TARANTELA - CIN/OFF,"0,01","0,01",,20adb99d,1
3310,3310 - BALCAO 4GAV 2PTS 1200 VALDEMOVEIS TARANTELA - CIN/OFF,3310 - BALCAO 4GAV 2PTS 1200 VALDEMOVEIS TARANTELA - CIN/OFF,"0,01","0,01",,20adb99d,1
3311,3311 - BALCAO 2P 800 VALDEMOVEIS TARANTELA - CIN/OFF,3311 - BALCAO 2P 800 VALDEMOVEIS TARANTELA - CIN/OFF,"0,01","0,01",,20adb99d,1
3312,3312 - ARMARIO 2PTS SEM VIDRO 800 VALDEMOVEIS TARANTELA - CIN/OFF,3312 - ARMARIO 2PTS SEM VIDRO 800 VALDEMOVEIS TARANTELA - CIN/OFF,"0,01","0,01",,20adb99d,1
,,,,,,,0
3314,"3314 - BALCAO COZINHA PARIS 1,20 - CAR/GRAF",,,,,,1
3315,3315 - CONJUG SPRING DREAM P5204300X1880X1380,,,,,,1
,,,,,,,0
3317,3317 - ROUPEIRO LISBOA 6PTS - WENGUE/NAT,,,,,,1
3318,3318 - VEGAS EXTRA 02 LUGARES 2019 COR:3002 CAFE,,,,,,1
3319,3319 - VEGAS EXTRA 03 LUGARES 2019 COR:3002 CAFE,,,,,,1
3320,3320 - ARMARIO COZINHA IMOLA 2019 - BCO,,,,,,1
3321,3321 - ROUPEIRO PANAMA 3 PORTAS S/ ESPELHO - BCO,,,,,,1
3322,"3322 - RECAM. SLIN SAFIRA . 1,30 SUED MARROM",,,,,,1
3323,3323 - COLCHAO DE ESPUMA 138 D20,,,,,,1
3324,COLCHAO SOLTEIRO DE ESPUMA D20 ANJOS,.,250,250,Produto_Images/3324.imagem.130140.jpg,,1
3325,3325 - COMODA VERSALES - WENG/OFF,,,,,,1
3326,3326 - COZINHA LUIZA - BCO-NEVE,,,,,,1
3327,3327 - PAINEL 220CM C/ NICHOS E 1 PORTA BASCULANTE+LED - OFF WHITE/FREIJO/ESP,,,,,,1
3328,3328 - PAINEL 175CM QUADRICULADO 3D C/01 GAVETA + LED - FREIJO/OFF WHITE,,,,,,1
3329,"3329 - POLTRONA TOQUIO 1,00X0,90X0,85 CAFE 815 RAV/JOLLY SL",,,,,,1
3330,"3330 - POLTRONA TOQUIO 1,00X0,90X0,85 GRAFITE 814 RAV/JOLLY SL",,,,,,1
3331,"3331 - CONJ. YORK LUXO 2,50M COR:524",,,,,,1
3332,"3332 - CONJ. YORK LUXO 2,50M COR:525",,,,,,1
3333,"3333 - CONJ. TURQUIA LUXO 2,10M COR:526",,,,,,1
3334,"3334 - CONJ. TURQUIA LUXO 2,10M COR:528",,,,,,1
3335,3335 - CONJ.MESA ATLA /04 CAD.RAVENA VDO OFF WHITE - TECIDO 084 YPE,,,,,,1
3336,3336 - COZINHA 5 PECAS LETICIA - CARVALHO/GRAFITE,,,,,,1
3337,3337 - COZINHA LIZ - CARVALHO/OFF WHITE,,,,,,1
3338,3338 - COMODA PARATI BC SEM GTIN,,,,,,1
3339,3339 - COMODA PARATI DEMOLICAO,,,,,,1
3340,3340 - COMODA ITAIPU BC,,,,,,1
3341,3341 - COMODA ITAIPU DEMOLICAO,,,,,,1
3342,3342 - COLCHAO CJG UNION ORTOP04300X1880X0880,,,,,,1
3343,"3343 - CABEC. SLIN HADASSA . 1,40 CORINO BRANCO",,,,,,1
3344,3344 - VENTILADOR OSC COLUNA 60CM NEW PR GR PR 127V PREMIUM,,,,,,1
3345,3345 - VENTILADOR OSC COLUNA TURBO 6P 50CM BRONZE 127V PREMIUM,,,,,,1
,,,,,,,0
,,,,,,,0
3348,3348 - COMODA FIRENZE - CINAMOMO,,,,,,1
,,,,,,,0
3350,3350 - COLCHOBOX SMART BEGE 138 x 188 x 30,,,,,,1
3351,3351 - SMARTSUPER BLACK 138 X 188 x 32,,,,,,1
3352,3352 - COLCHOBOX SMART BLACK 138 x 188 x 30,,,,,,1
3353,3353 - PLUMASPUMA D20 88 x 188 x 12,,,,,,1
,,,,,,,0
3355,3355 - AEREO PORTA DE VIDRO LETICIA - CARVALHO/GRAFITE,,,,,,1
3356,3356 - CAIXA BOX POLARES - 188 X 138 X 50,,,,,,1
3357,3357 - KIT COZINHA BARI 08 PTAS - BCO/BCO UV/PTO TRID PTA DE VIDRO,,,,,,1
3358,3358 - GUARDA ROUPA DALLAS C/ ESPELHO FAM1 - FR-BR,,,,,,1
3359,3359 - COZINHA ESMERALDA 2020 - BCO/GRAF,,,,,,1
3360,"3360 - BALCAO COZINHA PARIS 0,80 - CAR/OFF",,,,,,1
3361,3361 - ROUPEIRO PANAMA 3 PORTAS S/ ESPELHO - IPE,,,,,,1
,,,,,,,0
3363,3363 - ROUPEIRO MONACO 6 PTS 12 GAVETAS - CINAMOMO DDORO,3363 - G.R. MONACO 6 PTS 12 GAVETAS - CINAMOMO,"0,01",1700,Produto_Images/3363.imagem.193647.jpg,6835d149,1
,,,,,,,0
3365,3365 - COMODA SAFIRA - BRANCO,,,,,,1
3366,3366 - COMODA SAFIRA - CINAMOMO D’DORO,‘,0,0,,,1
3367,3367 - KIT C/02 ESP 3MM 1200 X 270,,,,,,1
3368,3368 - COMODA FIRENZE - BRANCO,,,,,,1
3369,3369 - COMODA FIRENZE - CINAM-GRAF,,,,,,1
,,,,,,,0
,,,,,,,0
,,,,,,,0
3373,3373 - BOX C/02 GAVETA PLUS - BRANCO,,,,,,1
3374,3374 - BOX C/02 GAVETA PLUS - YPE,,,,,,1
3375,3375 - G.R. NEW DALLAS 3 PTS - CINAM-GRAF,,,,,,1
3376,3376 - G.R. ATENAS 2 PTS - CINAM/OFF,,,,,,1
3377,3377 - COMODA NEW ATHOS 4 GAV - CINAM-GRAF,,,,,,1
3378,3378 - CAMA SOLT. MILENIO PLUS - BRANCO,,,,,,1
3379,3379 - CAMA SOLT. MILENIO PLUS - YPE,,,,,,1
3380,3380 - CAMA CASAL PRIMICIA PLUS - CINAMOMO,"- 100% MDF
- Espessura do pé: 100x45mm
- Estrado com 06 travessões
- Barra 16,5 cm de altura e 25mm de espessura

Dimensões
Altura: 1,18 metros
Largura: 1,53 metros
Profundidade: 2 metros",,"0,01",Produto_Images/3380.imagem.143544.jpg,,1
,,,,,,,0
,,,,,,,0
3383,3383 - ARMARIO FRUTEIRA 310 REF 0048 - BCO B,,,,,,1
3384,"3384 - SOFA MUNIQUE 2,00 MTS ( 2 MOD. 80 CM E BR 20 CM) BRONZE - A16 (AZUL)",,,,,,1
3385,"3385 - SOFA MUNIQUE 2,00 MTS ( 2 MOD. 80 CM E BR 20 CM) BRONZE - A15 (GRAFITE)",,,,,,1
3386,"3386 - SOFA BELGICA 2,30 MTS (2 MOD. 90 CM E BRACO 25 CM) BRONZE - A17 (MARROM)",,,,,,1
3387,"3387 - SOFA BELGICA 2,30 MTS (2 MOD. 90 CM E BRACO 25 CM) BRONZE - A15 (GRAFITE)",,,,,,1
